"Type","Name","Source","Target","Status","ErrorMessage"
"Folder","Apps","Documents/Apps","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Attachments","Documents/Attachments","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Documents","Documents/Documents","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Kashaf","Documents/Kashaf","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Lena","Documents/Lena","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Meetings","Documents/Meetings","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Microsoft Copilot Chat Files","Documents/Microsoft Copilot Chat Files","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Microsoft Teams Chat Files","Documents/Microsoft Teams Chat Files","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Pictures","Documents/Pictures","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Recordings","Documents/Recordings","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"Folder","Whiteboards","Documents/Whiteboards","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Diversity.docx","Documents/Diversity.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Donna K 2024 Smart Goals.docx","Documents/Donna K 2024 Smart Goals.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
